id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Jungle,Metro Shade,hip-hop,melancholy,0.68,95,0.38,0.84,0.12
12,Moonlight Reverie,Clara Voss,classical,peaceful,0.22,66,0.72,0.25,0.97
13,Golden Hour,Jade Rivers,r&b,romantic,0.61,88,0.78,0.76,0.45
14,Dusty Road Home,The Wayfarers,country,nostalgic,0.55,104,0.73,0.63,0.74
15,Iron Pulse,Shatter Engine,metal,angry,0.96,180,0.22,0.58,0.04
16,Laser Grid,Axon Drop,electronic,energetic,0.95,140,0.69,0.94,0.03
17,Autumn Porch,Willow Creek,folk,peaceful,0.33,85,0.76,0.51,0.91
18,Island Morning,Tide Current,reggae,happy,0.58,98,0.88,0.80,0.55
19,Rainy Day Blues,Delta Jones,blues,sad,0.44,72,0.31,0.42,0.82
20,Velvet Soul,Amara Vibe,soul,romantic,0.63,94,0.81,0.70,0.48
21,Fuego en la Pista,Los Brillantes,latin,energetic,0.89,128,0.90,0.93,0.14
22,Trap Palace,King Voss,trap,moody,0.80,140,0.33,0.86,0.06
23,Cherry Blossom Night,SeoYeon,k-pop,playful,0.78,126,0.85,0.88,0.20
24,Café em Ipanema,Bruno Mares,bossa nova,relaxed,0.38,110,0.74,0.59,0.88
25,Disco Fever,Glitter Squad,disco,happy,0.87,120,0.91,0.95,0.08
26,Broken Strings,Static Youth,punk,angry,0.94,176,0.28,0.72,0.05
27,River of Grace,The Jubilee Choir,gospel,hopeful,0.66,92,0.87,0.68,0.60
28,Crystal Cavern,Aura Drift,new age,dreamy,0.18,55,0.68,0.22,0.96
